dimension,algorithm,function,min,max,mean,std,median,1_quart,3_quart
10,FDA,Sphere,0.0,64010.20459171417,7122.52437550989,14676.443289096205,6.2830478128717e-05,1.7053025658242404e-13,4856.024390487571
10,DIRECT,Sphere,0.7140175201866441,125144.41404325988,24018.782154514116,22936.884603884086,16188.803571548342,4780.866169222067,40066.10365898783
10,DIRECTL,Sphere,0.00679851706502177,68728.6728711615,22095.696947808854,21006.287551031062,20107.08835234688,335.9108019276845,43062.04590130677
10,DIRECTR,Sphere,0.515039786055695,109810.52507137922,3525.878016413064,11310.806352541169,0.5419738186127461,0.515507473376033,73.7470091972208
10,SOO,Sphere,0.0,89006.38234563533,2610.5075759709266,9047.221900698183,0.03603191436656061,1.0604266407199248e-06,72.84072397096112
10,DIRECTBs,Sphere,0.0,51971.31997551505,48.42754679090261,1164.9757052298542,0.0,0.0,0.0
10,FDABs,Sphere,0.0,64010.20459171417,7122.52437550989,14676.443289096205,6.2830478128717e-05,1.7053025658242404e-13,4856.024390487571
10,FDADBs,Sphere,8052.165514332609,64001.8908236733,31009.20789733037,16286.83105501806,28453.54841852181,16516.20713626332,44132.246990187574
10,FDAC,Sphere,0.0,64010.20459171417,7122.52437550989,14676.443289096205,6.2830478128717e-05,1.7053025658242404e-13,4856.024390487571
10,FDAD,Sphere,8052.165514332609,64001.8908236733,31009.20789733037,16286.83105501806,28453.54841852181,16516.20713626332,44132.246990187574
10,SOOBs,Sphere,0.0031925690254865913,51971.31997551506,16.96755553307074,670.4288825897287,0.0031925690254865913,0.0031925690254865913,0.0031925690254865913
15,FDA,Sphere,1.1368683772161603e-13,82219.3623775672,9601.757766144363,17834.048721099545,125.1045353529093,2.4584778657299466e-11,10138.322120226276
15,DIRECT,Sphere,96.62889328448546,163206.6267939515,49894.62192779781,26500.92045533576,48503.52989185876,32835.70906019074,66308.98980245335
15,DIRECTL,Sphere,0.011906129569354107,71848.95040986074,21550.23954501299,13483.275846278158,27438.98318264997,4145.913792098176,32111.229231311023
15,DIRECTR,Sphere,175.55069972450872,136844.0170403295,5775.771319009527,15641.443988830826,175.59295263251715,175.55327401838161,202.2728139057703
15,SOO,Sphere,2.2737367544323206e-13,122604.74733038415,4098.588898026293,12771.352247811183,0.4283611897302819,0.0001453624803104958,336.7083047108462
15,DIRECTBs,Sphere,1.1368683772161603e-13,71848.95040986074,100.69337456174682,2003.9940294168687,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13
15,FDABs,Sphere,1.1368683772161603e-13,82219.3623775672,9601.757766144363,17834.048721099545,125.1045353529093,2.4584778657299466e-11,10138.322120226276
15,FDADBs,Sphere,19530.007157672117,82577.73815841245,44003.78751931826,18297.852391481567,40303.716368402325,27781.948396187785,58341.37615830837
15,FDAC,Sphere,1.1368683772161603e-13,82219.3623775672,9601.757766144363,17834.048721099545,125.1045353529093,2.4584778657299466e-11,10138.322120226276
15,FDAD,Sphere,19530.007157672117,82577.73815841245,44003.78751931826,18297.852391481567,40303.716368402325,27781.948396187785,58341.37615830837
15,SOOBs,Sphere,3483.769891794626,71848.95040986076,3509.574175503676,928.4446347072766,3483.769891794626,3483.769891794626,3483.769891794626
20,FDA,Sphere,2.2737367544323206e-13,108234.5019653405,11638.298338363347,22898.113063305223,153.08806284512445,5.1656456889759284e-11,10768.399097038915
20,DIRECT,Sphere,315.5331409111812,193382.5958931417,61663.17976003844,31225.762703454784,56647.76784022194,41515.75802459147,80372.21239818861
20,DIRECTL,Sphere,0.01589804515913329,97228.80164099186,22964.626888472503,12734.072473979479,27837.072919310714,18387.39060787678,32001.9391418696
20,DIRECTR,Sphere,99.7454380574975,147940.99696290758,6916.388713027355,19225.812668241142,99.84767935666864,99.74633154624718,128.39702865432287
20,SOO,Sphere,6.917844075360335e-11,147984.59856151527,6349.542755278609,18257.050367312153,3.9050102782964586,0.0020487061197940193,564.1696536071111
20,DIRECTBs,Sphere,1.1368683772161603e-13,97228.80164099186,193.24673542015168,3303.6576140399243,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13
20,FDABs,Sphere,2.2737367544323206e-13,108234.5019653405,11638.298338363347,22898.113063305223,153.08806284512445,5.1656456889759284e-11,10768.399097038915
20,FDADBs,Sphere,21018.220993068328,108610.64651185385,54692.689422028554,25612.45495879774,49316.6856134925,31871.907742028787,74835.23974298814
20,FDAC,Sphere,2.2737367544323206e-13,108234.5019653405,11638.298338363347,22898.113063305223,153.08806284512445,5.1656456889759284e-11,10768.399097038915
20,FDAD,Sphere,21018.220993068328,108610.64651185385,54692.689422028554,25612.45495879774,49316.6856134925,31871.907742028787,74835.23974298814
20,SOOBs,Sphere,4620.544142984649,97228.80164099186,4657.889579893483,1347.1927527392447,4620.54414298476,4620.544142984712,4620.544142984779
30,FDA,Sphere,3.410605131648481e-13,153804.4685414228,15368.712248742993,32217.97729948597,144.53114669351726,5.2153836804791354e-11,10836.924026602193
30,DIRECT,Sphere,647.1379204422778,228711.3028430904,75950.72082975812,39197.83710400858,68561.70011245692,47432.350191026926,102137.75963227505
30,DIRECTL,Sphere,0.15090011153921523,142747.88051315516,32171.911683962524,14453.564053482605,34205.90242107769,25861.88504003684,42372.79059443742
30,DIRECTR,Sphere,347.86546713245446,194756.46041682112,10853.999365362697,28813.104103202495,349.85930678477837,347.87269124402235,1087.2545291716403
30,SOO,Sphere,3.326681508042384e-08,193229.8754360965,11594.561098134494,29072.008829114984,29.937447433941145,0.1068217686306383,3969.0106494593856
30,DIRECTBs,Sphere,1.1368683772161603e-13,142747.88051315516,423.7227949784789,5978.997976312408,1.1368683772161603e-13,1.1368683772161603e-13,1.1368683772161603e-13
30,FDABs,Sphere,3.410605131648481e-13,153804.4685414228,15368.712248742993,32217.97729948597,144.53114669351726,5.2153836804791354e-11,10836.924026602193
30,FDADBs,Sphere,25018.758196005103,154189.54543988095,75023.14902554631,37842.27530130066,67216.14583204422,41311.159934731804,104887.00549721089
30,FDAC,Sphere,3.410605131648481e-13,153804.4685414228,15368.712248742993,32217.97729948597,144.53114669351726,5.2153836804791354e-11,10836.924026602193
30,FDAD,Sphere,25018.758196005103,154189.54543988095,75023.14902554631,37842.27530130066,67216.14583204422,41311.159934731804,104887.00549721089
30,SOOBs,Sphere,6156.4969578955215,142474.0785155731,6212.656236145788,2051.504790119612,6156.496958002579,6156.496957989027,6156.496958096084
50,FDA,Sphere,6.252776074688882e-13,213499.46051401348,19560.104161208397,43339.174287097696,191.91693737514805,9.185896487906575e-11,11106.937690866069
50,DIRECT,Sphere,2213.906368080091,288408.50424632,103802.26031153528,51745.32288876914,94114.45255199954,62481.29179891249,137240.7231223628
50,DIRECTL,Sphere,0.06823289179641279,201734.73929426755,59096.807787606915,27670.91580554866,60953.16356352355,40779.009849034206,80613.30141072869
50,DIRECTR,Sphere,2061.815953420076,236830.7464233128,24569.43713028174,46083.955481461846,2081.918723287032,2062.1629301921334,9217.58894968814
50,SOO,Sphere,4.065215148330026e-05,252201.37793728872,20526.759886399734,43607.366753339746,313.3337231554425,2.6755022730744003,13439.366344028907
50,DIRECTBs,Sphere,2.2737367544323206e-13,201734.73929426755,933.1858278556505,10471.953913895526,2.2737367544323206e-13,2.2737367544323206e-13,2.2737367544323206e-13
50,FDABs,Sphere,6.252776074688882e-13,213499.46051401348,19560.104161208397,43339.174287097696,191.91693737514805,9.185896487906575e-11,11106.937690866069
50,FDADBs,Sphere,28101.33157659174,213905.35800142583,97939.93386035856,54393.37411552265,85590.93953222819,49667.44414727585,140066.71108658786
50,FDAC,Sphere,6.252776074688882e-13,213499.46051401348,19560.104161208397,43339.174287097696,191.91693737514805,9.185896487906575e-11,11106.937690866069
50,FDAD,Sphere,28101.33157659174,213905.35800142583,97939.93386035856,54393.37411552265,85590.93953222819,49667.44414727585,140066.71108658786
50,SOOBs,Sphere,6511.0135908274,201445.58101676533,6584.198649110361,2801.00109427501,6511.026714288217,6511.014488386726,6511.027611500102
100,FDA,Sphere,1.1368683772161603e-12,389161.77521726646,31345.187723342602,76493.1200983428,122.47012564176191,6.141931407910306e-11,11143.478443547847
100,DIRECT,Sphere,15916.430836409723,447675.6026663821,215676.2643431229,89794.29135565339,216106.10058031676,142361.10911014501,285109.4113324812
100,DIRECTL,Sphere,0.5262355425816736,377397.0539975206,110216.71834942966,54158.117428865036,117162.15529960292,83668.87380101708,149152.89149025176
100,DIRECTR,Sphere,2227.34682644667,412721.0383799406,34975.35992171163,75188.24853002209,2258.7743082562174,2229.723396247694,20924.930867378127
100,SOO,Sphere,0.7197973871306544,427863.69264054176,59099.95970738804,97264.11978926092,4691.165036309853,297.018777943524,71191.73534337089
