dimension,algorithm,function,min,max,mean,std,median,1_quart,3_quart
10,SOO,Modified_schwefel,15.258740902312638,5630.573823997482,685.9061215031005,924.7900533884433,157.83216656037428,141.9576007041071,808.6242543530985
10,DIRECTBs,Modified_schwefel,1251.486703731543,5110.416498672708,1258.1641968772556,110.62889881589676,1251.4867037326198,1251.4867037324102,1251.486703734156
10,FDABs,Modified_schwefel,1622.493007325863,6423.932105893797,2037.5851150799062,529.9085123952276,1934.5326294589577,1875.2914195212968,1941.123969829226
10,FDADBs,Modified_schwefel,1977.5083009807704,6425.122290073297,3156.240350208848,1404.305639490471,2470.363096778725,2018.81539623546,3983.196364982741
10,FDAC,Modified_schwefel,1622.493007325863,6423.932105893797,2033.486591983814,519.5873428166809,1934.5326294589445,1875.2914193235306,1940.6049331250292
10,FDAD,Modified_schwefel,1549.6010648369343,6107.69288541854,2744.8006088617926,1389.9029745543203,2117.5939880123233,1623.620865463181,3547.147278214335
10,SOOBs,Modified_schwefel,941.8701510893725,5022.533478406949,945.4400427297958,81.76285862091098,941.8701510893725,941.8701510893725,941.8701510893725
15,FDA,Modified_schwefel,2403.251202988168,8860.936162952814,2724.4429969092967,663.0660755313963,2620.93404437123,2620.9340443710425,2621.009274572955
15,DIRECT,Modified_schwefel,1267.9872433132614,8167.910603010812,4734.866657897858,900.3084508254764,4730.464031107552,4280.712489247599,5269.962342667281
15,DIRECTL,Modified_schwefel,1267.944028395019,8124.600093947462,4475.979029899353,1149.5336951117113,4700.354998185086,4217.628148712689,5153.090787207892
15,DIRECTR,Modified_schwefel,901.9180791722365,8124.600093947462,1486.0984947297945,1352.563143397515,902.0127365130329,901.9183939809279,913.3718855439711
15,SOO,Modified_schwefel,550.593323644287,7920.6241103225875,1438.7116023254016,1381.284309275199,579.0388332342645,557.7959938265192,2138.2838641222343
15,DIRECTBs,Modified_schwefel,1267.604929787939,8124.600093947462,1280.6289345914934,212.34061515419492,1267.6049297879763,1267.604929787949,1267.6049297879772
15,FDABs,Modified_schwefel,2396.614349554993,8853.700216683994,2769.589406196086,826.4384412113656,2615.7448129753016,2615.744812975292,2615.746155836554
15,FDADBs,Modified_schwefel,3030.179203209522,8880.934660164396,4708.173959278326,1818.9938301070883,3969.253882302672,3086.2982704826754,6083.147893952385
15,FDAC,Modified_schwefel,2403.251202988168,8860.936162952814,2724.4429969092967,663.0660755313963,2620.93404437123,2620.9340443710425,2621.009274572955
15,FDAD,Modified_schwefel,2620.9340443710416,8856.808128962028,4375.029162942592,1964.1610631748301,3485.427672195173,2686.1455209624955,5780.424685253869
15,SOOBs,Modified_schwefel,1210.7691007605108,7557.942464084375,1214.7098288512345,108.65021243249208,1210.7691007605108,1210.7691007605108,1210.7691007605108
20,FDA,Modified_schwefel,4242.519620167747,10723.27308530836,4743.90185355277,646.2692170609702,4657.104797221199,4648.4933090563245,4657.230066703647
20,DIRECT,Modified_schwefel,1663.8957128701795,9212.515267301837,6242.085503136882,939.9163579022869,6196.238340806345,5643.818567968081,6849.335211207579
20,DIRECTL,Modified_schwefel,1663.4036421740384,9699.940527971285,6760.442490185422,1560.6153928595486,6942.589835452303,6048.984924035494,7821.021856186435
20,DIRECTR,Modified_schwefel,1645.0033987022507,9259.675080837003,2392.2368546365124,1610.934984002481,1645.0105778606244,1645.0034444049606,1711.9912833460746
20,SOO,Modified_schwefel,482.2929450974209,9382.284404034948,2178.350022486586,2148.7069312803824,1100.675799431278,689.9908003286114,2980.0455500061053
20,DIRECTBs,Modified_schwefel,1663.3722405196831,8806.342685965748,1683.8974087165952,289.62236308991385,1663.372240519684,1663.372240519684,1663.3722405196859
20,FDABs,Modified_schwefel,3492.1452644123583,10055.025640786138,4098.3282523553935,844.1164330926117,3906.730504700529,3906.730441462374,3961.8963470927165
20,FDADBs,Modified_schwefel,3911.2692535334927,10158.7438101056,5790.2556604296,1947.3908540997531,5092.798445097753,3959.4086596400193,7314.930865135122
20,FDAC,Modified_schwefel,3575.922451782655,10654.11002469997,4123.065458803108,806.3744834266976,3990.5076290486404,3990.506670554756,4005.1866243656277
20,FDAD,Modified_schwefel,4647.121370866887,10845.280106410555,6360.5901021419295,1952.1921967704513,5429.4526478919925,4664.5935561126,7831.326506113061
20,SOOBs,Modified_schwefel,1681.1358150879723,8671.349724685497,1687.0457752800673,158.94037912213759,1681.135815087981,1681.1358150879778,1681.135815087985
30,FDA,Modified_schwefel,3931.7648947224043,15139.943442361586,4607.023453263536,1063.6157594300446,4361.749429409169,4361.720809810649,4406.854212514363
30,DIRECT,Modified_schwefel,3711.7787993430074,12930.128587609786,8507.314107382865,1089.6211005753266,8462.678190792303,7791.504112717643,9202.530390524136
30,DIRECTL,Modified_schwefel,3559.5975249095627,14680.51102860182,10084.818252816758,1537.382520363796,10235.922916850901,9241.238503735469,11123.74856229663
30,DIRECTR,Modified_schwefel,3425.8546819569547,12805.342739154488,4330.8208356185905,1746.1231135889068,3426.0494899123987,3425.8560324458167,4637.73824167513
30,SOO,Modified_schwefel,2274.839719211328,14651.247379334409,4576.206865362912,2429.318399064712,3079.262677703766,2693.9172770431624,6716.876504677187
30,DIRECTBs,Modified_schwefel,3556.4155324366166,12805.342739154488,3586.3194933802993,362.2737714291654,3556.415532436782,3556.41553243662,3556.415532436784
30,FDABs,Modified_schwefel,3931.7648947224043,15139.943442361586,4607.023453263536,1063.6157594300446,4361.749429409169,4361.720809810649,4406.854212514363
30,FDADBs,Modified_schwefel,4677.519858491556,15304.901076661059,7120.809494225026,3219.8845486557248,5056.06849064315,4711.858635100865,9255.533230520552
30,FDAC,Modified_schwefel,3931.7648947224043,15139.943442361586,4607.023453263536,1063.6157594300446,4361.749429409169,4361.720809810649,4406.854212514363
30,FDAD,Modified_schwefel,4677.519858491556,15304.901076661059,7120.809494225026,3219.8845486557248,5056.06849064315,4711.858635100865,9255.533230520552
30,SOOBs,Modified_schwefel,3248.5651113203094,11506.63977462195,3255.984857521893,184.93915496133792,3248.56511196022,3248.565111748057,3248.565112139011
50,FDA,Modified_schwefel,9134.941731271949,22964.41631569061,9512.977599223925,1326.4061588985971,9273.149969920862,9273.149967202256,9305.513987043954
50,DIRECT,Modified_schwefel,4833.822152328201,19316.56168868788,14134.0483605005,1538.8993232622267,14164.479008030663,13395.362991804406,15017.859055380244
